"variable","value"
"Control",2723
"Control",2613
"Control",2657
"Control",2443
"Control",2365
"Control",2394
"100 nM",2442
"100 nM",2164
"100 nM",2083
"100 nM",2869
"100 nM",2190
"100 nM",2162
"1 uM",2998
"1 uM",2668
"1 uM",2849
"1 uM",2989
"1 uM",2866
"1 uM",2990
"10 uM",3046
"10 uM",3083
"10 uM",NA
"10 uM",3044
"10 uM",3068
"10 uM",3088
"50 uM",2976
"50 uM",2612
"50 uM",2322
"50 uM",2577
"50 uM",2822
"50 uM",2024
"100 Um",2065
"100 Um",2245
"100 Um",2176
"100 Um",2079
"100 Um",2633
"100 Um",2349
"250 uM",275
"250 uM",268
"250 uM",320
"250 uM",325
"250 uM",365
"250 uM",302
"500 uM",284
"500 uM",230
"500 uM",237
"500 uM",216
"500 uM",263
"500 uM",264
"1 Mm",146
"1 Mm",288
"1 Mm",171
"1 Mm",121
"1 Mm",73
"1 Mm",207
